Country,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20
China,520,613,884,1367,2026,2819,5408,5967,8006,9588,11616,16167,19102,22864,26325,29110,32111,34218,36610,38436,39750,39677,53678,58381,59115,59758,59972,60005,58657,57063,56846,54302,53835,52226,50078,48082,45670,42599,40036,37770,35282,32811,30385,28245,26746,25231,23435,22056,20706,19277,18031,16749,15317,13986,13123,12260,11347,10621,9984,9448,9035
Italy,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,61,153,228,321,450,610,842,1082,1611,1887,2342,2813,3444,4113,5294,6753,8448,9425,11417,11417,16221,19191,22412,25231,28565,31688,36595,42581,47506,52114
Spain,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,11,13,30,43,82,118,163,220,257,398,470,643,1041,1663,2094,2094,5039,5874,7281,9412,10720,12829,16856,18822,23249,26193
Germany,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,15,15,15,15,15,4,4,4,2,2,2,2,3,12,30,32,63,114,143,180,246,466,653,781,1022,1158,1439,1883,2053,3629,4539,5749,7205,9190,12222,15207,19668,21980,24607
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,90,196,315,470,803,1210,2045,2370,2774,3834,4154,4432,4767,5311,6041,7116,8405,9770,9348,10401,10780,11972,12697,12899,12975,13707
US,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,46,45,51,52,53,61,67,91,111,142,210,255,395,511,576,951,1273,1651,2167,2715,3487,4615,6404,7783,13677,19100,25489,33272
France,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,9,9,9,8,8,8,8,8,8,8,8,8,8,3,7,27,46,88,118,179,192,276,368,644,945,1122,1205,1780,2278,2278,3666,4475,4511,6656,7687,9093,10935,12714,14419,13970
"Korea, South",1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,23,23,22,24,25,21,21,21,19,20,20,19,19,88,188,417,584,815,955,1239,1744,2315,3123,3706,4305,5156,5580,6047,6458,6906,7196,7360,7266,7467,7536,7469,7576,7652,7099,6913,6873,7025,7112,7259,5988
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,18,27,42,54,87,111,211,265,334,371,488,648,648,1135,1355,2196,2196,2696,3013,4060,5279,6560,7114
United Kingdom,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,8,8,8,8,8,8,1,1,1,1,1,1,1,1,5,5,5,7,12,15,28,32,43,78,108,156,189,256,304,365,440,440,783,1125,1126,1530,1907,2575,2649,3947,5000,5674
